Tag,ti|18|gi|36,ti|18|gi|30,ti|18|gi|154,ti|18|gi|187,ti|18|gi|68,ti|18|gi|1,ti|18|gi|176,ti|18|gi|55,ti|18|gi|198,ti|18|gi|26,ti|18|gi|135,ti|18|gi|145,ti|18|gi|69,ti|18|gi|157,ti|18|gi|56,ti|18|gi|11,ti|18|gi|22,ti|18|gi|25,ti|18|gi|29,ti|18|gi|98,ti|18|gi|164,ti|18|gi|77,ti|18|gi|200,ti|18|gi|44,ti|18|gi|155,ti|18|gi|130,ti|18|gi|53,ti|18|gi|171,ti|18|gi|38,ti|18|gi|180,ti|18|gi|94,ti|18|gi|85,ti|18|gi|67,ti|18|gi|118,ti|18|gi|179,ti|18|gi|182,ti|18|gi|33,ti|18|gi|70,ti|18|gi|3,ti|18|gi|106,ti|18|gi|195,ti|18|gi|18,ti|18|gi|199,ti|18|gi|128,ti|18|gi|14,ti|18|gi|97,ti|18|gi|43,ti|18|gi|28,total,skipped
SRS147919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SRS023829,544,495,677,465,296,794,380,294,1545,402,926,489,406,295,1025,328,375,637,483,690,343,459,741,361,619,182,406,105,1127,598,725,594,234,1602,804,624,244,1433,476,1161,332,128,1045,153,699,589,384,874,28588,2414
SRS143070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS1041157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
SRS054659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS893358,0,4,0,0,1,5,4,0,5,2,2,1,1,1,3,0,1,1,2,3,1,0,1,0,1,0,2,0,4,2,0,0,0,3,0,1,1,3,0,6,1,2,4,0,2,2,0,6,78,8
SRS097889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SRS018888,45,37,55,52,31,72,23,25,162,43,81,46,46,35,90,33,52,70,34,70,20,32,67,34,50,21,40,6,105,47,73,51,21,115,68,44,23,149,54,100,38,20,80,19,68,52,37,69,2605,133
SRS015388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS063127,42,48,66,39,39,56,27,25,113,28,68,47,36,25,63,16,29,53,41,67,26,29,51,29,39,13,22,7,107,39,54,43,25,136,47,43,18,91,43,82,20,13,74,9,65,41,25,55,2174,76
