Tag,GA3_TssK,GA3_TssO,GA3_TssG,GA3_TssP,GA3_Hcp,GA3_ClpV,GA3_TssB,GA3_TssF,GA3_TssR,GA3_TssQ,GA3_TssC,total,skipped
SRS147919,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS023829,695,283,535,591,216,1501,288,942,1514,331,979,7875,976
SRS143070,0,0,0,0,0,0,0,0,0,0,0,0,3
SRS1041157,1,0,0,0,0,0,0,1,0,0,0,2,2
SRS054659,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS893358,1,3,0,3,0,4,1,1,5,0,5,23,1
SRS097889,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS018888,39,28,50,44,15,122,25,60,128,29,78,618,59
SRS015388,0,0,0,0,0,0,0,0,0,0,1,1,0
SRS063127,53,20,50,36,7,110,10,81,126,19,70,582,20
SRS1041118,0,0,0,0,0,0,0,0,0,0,0,0,1
SRS104327,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS014412,4,1,7,3,0,7,0,4,11,1,11,49,11
SRS148253,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS056481,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS046369,0,0,0,0,0,0,0,0,0,0,0,0,2
SRS024132,0,0,0,0,0,0,0,0,0,0,0,0,2
SRS024663,0,0,0,1,0,0,0,0,0,0,0,1,21
SRS053398,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS019910,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS078665,2,0,2,2,0,4,0,1,4,1,4,20,7
SRS015854,35,26,38,44,16,97,24,65,109,14,46,514,46
SRS050520,10,2,2,6,3,16,3,8,10,3,5,68,7
SRS147272,95,59,93,69,32,225,34,163,234,54,140,1198,90
SRS045645,3,0,0,1,0,3,0,2,2,1,2,14,2
SRS1041116,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS020394,0,0,0,0,0,0,0,0,0,0,0,0,3
SRS016629,3,0,1,1,1,0,0,0,0,0,1,7,0
SRS893341,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS062654,6,3,5,8,3,17,4,8,25,3,8,90,3
SRS097958,2,1,5,1,0,14,1,6,10,0,8,48,6
SRS077589,47,28,33,52,15,100,15,80,101,21,65,557,75
SRS015816,1,0,0,0,0,1,0,0,0,0,0,2,0
SRS1041090,2,0,1,1,0,2,0,1,5,2,2,16,2
SRS077502,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS1054691,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS048654,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS055982,0,0,0,0,0,0,0,0,0,0,0,0,4
SRS019582,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS043001,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS021484,0,0,0,0,0,0,0,0,0,0,0,0,2
SRS098748,19,5,16,11,4,35,6,19,27,4,21,167,6
SRS076804,39,21,41,41,14,88,20,76,104,11,42,497,37
SRS104485,123,77,112,119,50,267,60,182,300,66,210,1566,205
SRS076929,59,27,41,48,23,146,28,104,148,21,87,732,67
SRS054352,0,0,0,0,0,1,0,0,0,0,0,1,1
SRS893256,0,0,0,0,0,0,0,0,0,0,0,0,23
SRS018817,349,261,383,475,169,1267,211,570,1282,245,717,5929,869
