Tag,ti|18|gi|135,ti|18|gi|199,ti|18|gi|118,ti|18|gi|29,ti|18|gi|97,ti|18|gi|33,ti|18|gi|26,ti|18|gi|36,ti|18|gi|44,ti|18|gi|145,ti|18|gi|14,ti|18|gi|77,ti|18|gi|70,ti|18|gi|195,ti|18|gi|106,ti|18|gi|25,ti|18|gi|198,ti|18|gi|56,ti|18|gi|179,ti|18|gi|85,ti|18|gi|94,ti|18|gi|38,ti|18|gi|30,ti|18|gi|3,ti|18|gi|200,ti|18|gi|43,ti|18|gi|164,ti|18|gi|154,ti|18|gi|98,ti|18|gi|130,ti|18|gi|155,ti|18|gi|69,ti|18|gi|180,ti|18|gi|22,ti|18|gi|11,ti|18|gi|157,ti|18|gi|28,ti|18|gi|53,ti|18|gi|1,ti|18|gi|187,ti|18|gi|176,ti|18|gi|68,ti|18|gi|55,ti|18|gi|171,ti|18|gi|182,ti|18|gi|67,ti|18|gi|128,ti|18|gi|18,total,skipped
G45090,13,10,12,5,7,3,7,5,5,3,7,6,12,6,16,4,17,16,8,8,10,12,8,6,5,6,2,6,16,3,4,9,10,2,3,7,12,5,6,5,3,1,2,2,1,1,1,0,318,64
G45114,114,104,155,45,52,20,46,88,31,43,67,58,149,35,128,82,154,129,100,56,68,116,50,84,76,34,35,66,87,13,81,47,62,29,32,40,95,46,94,38,36,21,39,12,69,25,16,14,3081,370
G45074,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0
G45241,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,12,1
G45225,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0
G45057,60,69,109,22,40,16,30,44,18,36,36,24,77,31,77,40,94,89,56,41,50,84,33,33,35,29,19,36,68,14,54,23,35,34,25,25,64,27,47,21,30,19,22,6,38,16,10,18,1924,221
G45262,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
G45253,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,2,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15,4
G45099,18,9,19,6,7,3,3,13,6,6,10,3,19,5,8,11,12,14,6,4,8,10,5,13,11,7,1,10,6,2,9,6,3,7,6,6,9,3,11,4,4,5,3,0,5,4,2,1,343,50
G45055,476,431,721,234,286,119,234,340,158,239,364,244,687,208,562,279,720,583,427,279,428,579,270,264,341,187,167,334,428,129,330,167,289,187,191,191,449,186,420,252,174,128,162,54,303,115,86,82,14484,1726
G45227,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
G45237,20,10,32,6,14,0,5,16,8,6,7,4,15,4,20,13,23,25,11,2,8,21,9,6,12,2,5,11,10,4,15,2,7,7,3,6,21,8,9,3,9,3,5,4,13,4,3,5,456,48
G45261,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
G45103,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
G45112,167,186,305,85,117,39,73,114,58,56,136,75,261,63,202,123,302,219,132,100,142,215,75,149,103,76,61,120,148,27,146,51,104,67,66,58,161,85,134,81,69,46,61,29,108,46,31,27,5299,611
G45091,37,31,49,17,11,4,4,11,9,11,12,21,30,9,35,18,34,39,24,19,17,27,13,8,22,13,6,10,22,3,10,7,12,9,12,9,26,11,24,11,12,4,9,1,18,8,7,1,757,90
G45244,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1
G45089,16,13,29,8,9,1,8,11,5,8,6,6,25,8,25,7,23,22,16,8,11,21,5,6,7,9,5,11,11,3,10,1,12,4,8,4,15,4,18,7,6,4,9,1,6,6,4,2,464,90
G45062,1361,1615,2352,680,758,386,662,905,524,743,1109,688,2131,583,1733,959,2267,1607,1165,847,1234,1730,644,684,1048,602,485,1047,1255,295,1008,526,922,593,515,487,1374,618,1182,726,586,384,463,151,958,361,255,302,43510,4448
G45068,3,1,0,0,2,0,1,1,0,0,2,0,3,0,0,1,2,2,3,0,0,0,0,4,1,0,1,2,2,1,0,0,1,1,0,0,2,0,1,1,1,0,1,0,1,1,1,0,43,11
G45072,0,0,1,0,0,0,0,3,0,1,0,0,8,6,0,0,5,0,0,0,0,0,2,0,1,0,0,2,2,0,1,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,38,92
G45098,3,2,4,1,1,0,0,4,0,3,4,1,4,0,3,2,5,7,2,2,4,7,1,0,0,3,1,2,2,1,0,1,0,0,0,1,0,2,2,0,2,1,0,0,6,0,0,0,84,14
G45271,104,130,191,59,69,36,46,68,42,68,66,51,168,39,121,62,178,146,97,71,101,132,78,114,77,39,35,73,89,22,87,49,70,44,46,46,108,34,90,40,45,38,33,10,82,36,25,23,3478,460
G45088,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2
G45081,0,1,11,0,1,2,0,31,1,9,2,1,85,17,1,5,39,0,3,0,0,0,30,0,6,1,0,22,28,0,6,0,0,1,6,16,0,0,0,11,12,2,3,0,2,0,0,0,355,591
G45107,1,0,2,0,1,0,0,0,1,1,0,0,0,0,1,1,3,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,20,5
G45263,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2
G45267,143,158,204,73,77,33,66,93,71,73,89,65,203,51,186,115,216,134,115,86,93,166,63,144,102,62,41,84,99,24,88,53,88,46,37,45,98,57,118,60,40,38,60,17,79,27,26,24,4130,416
G45121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
G45104,0,3,2,1,0,1,0,2,0,0,0,2,2,2,2,1,4,3,1,2,0,1,1,1,0,2,0,3,0,1,1,1,0,0,0,0,2,0,0,3,1,0,0,0,1,2,0,0,48,2
G45067,9,10,13,5,3,3,5,3,3,5,6,5,14,3,9,4,9,8,5,5,8,4,1,6,10,2,5,3,8,1,5,1,3,2,1,8,9,4,6,1,2,1,1,0,3,1,0,3,226,22
