Tag,GA3_TssK,GA3_TssC,GA3_TssB,GA3_ClpV,GA3_TssQ,GA3_TssP,GA3_TssR,GA3_TssF,GA3_TssO,GA3_TssG,GA3_Hcp,total,skipped
G45090,9,10,5,19,8,6,16,18,2,4,2,99,34
G45114,84,114,26,188,24,80,186,127,35,87,19,970,143
G45074,0,0,0,0,1,0,0,0,0,0,0,1,0
G45241,0,0,0,2,0,0,1,0,0,0,0,3,1
G45225,1,0,0,0,0,0,0,0,0,0,0,1,1
G45057,39,60,25,144,15,49,105,98,13,45,12,605,82
G45262,0,1,0,1,0,0,0,0,0,0,2,4,0
G45253,0,0,0,1,0,0,3,1,0,0,0,5,4
G45099,2,9,4,21,5,3,15,16,2,8,0,85,27
G45055,224,452,140,893,119,283,775,593,150,296,99,4024,663
G45227,0,0,0,1,0,0,1,0,0,0,1,3,0
G45237,18,14,4,34,4,14,31,22,7,12,1,161,17
G45261,0,0,0,1,0,0,2,1,0,0,0,4,1
G45103,0,0,0,1,0,0,0,0,0,0,0,1,0
G45112,147,166,53,282,63,96,275,182,56,137,54,1511,241
G45091,11,23,4,53,6,12,54,45,5,15,3,231,29
G45244,0,0,0,0,0,0,1,0,0,0,0,1,1
G45089,6,18,6,26,2,11,18,24,3,6,2,122,27
G45062,729,1356,348,2628,422,845,2462,2003,454,938,323,12508,1632
G45068,0,3,0,0,1,0,2,2,0,2,1,11,6
G45072,0,0,0,0,1,0,0,0,0,1,0,2,0
G45098,2,4,2,5,0,2,4,3,0,2,1,25,5
G45271,61,112,29,208,26,59,189,146,26,79,23,958,161
G45088,0,0,0,0,0,0,0,0,0,0,0,0,0
G45081,0,0,0,0,0,0,0,0,0,0,0,0,0
G45107,2,1,0,1,0,1,4,2,0,0,0,11,0
G45263,1,0,0,1,0,0,2,0,0,0,0,4,0
G45267,71,158,32,233,39,88,232,182,44,79,25,1183,158
G45121,0,0,0,0,0,0,0,0,0,0,0,0,0
G45104,0,1,0,2,0,1,2,1,1,0,0,8,1
G45067,4,6,4,9,2,3,7,9,0,8,3,55,11
G45073,0,0,0,0,0,0,0,0,0,0,0,0,0
G45093,26,74,18,108,12,34,90,72,20,37,4,495,94
G45268,32,37,9,86,13,42,100,61,24,38,11,453,81
G45064,0,0,0,1,0,0,0,0,0,0,0,1,0
G45105,3,8,2,10,0,3,8,3,3,2,0,42,12
G45245,65,68,31,145,16,48,138,87,23,58,11,690,101
G45125,0,0,0,0,0,0,0,0,1,0,0,1,0
G45054,37,47,12,73,15,28,72,65,20,42,10,421,60
G45226,14,28,7,48,6,9,47,33,6,12,5,215,27
G45087,114,204,61,323,60,138,369,311,82,166,45,1873,243
G45066,0,0,0,0,0,2,1,0,0,0,0,3,0
G45270,45,52,12,101,26,37,109,84,19,32,15,532,71
G45239,0,0,0,1,0,1,0,0,0,0,0,2,0
G45077,2,2,0,4,0,1,9,4,1,1,1,25,3
G45269,38,74,22,163,27,47,116,101,27,56,13,684,120
G45070,3,0,1,1,0,0,0,1,0,0,0,6,1
G45069,0,0,0,1,0,0,0,0,0,1,0,2,1
G45051,1,0,2,2,0,1,1,3,0,0,0,10,2
G45257,0,0,0,0,0,0,0,0,0,0,0,0,0
G45086,0,0,0,1,0,1,0,0,0,0,0,2,0
G45223,0,0,0,1,0,0,1,0,0,0,0,2,1
G45266,1,0,0,0,1,0,4,0,0,1,0,7,0
G45123,0,0,0,1,0,0,1,4,0,0,0,6,0
G45048,5,1,1,7,0,1,2,5,1,1,1,25,2
G45119,0,0,0,0,0,0,0,0,0,0,0,0,1
G45120,0,0,0,0,0,0,2,0,0,0,0,2,0
G45252,14,12,2,22,1,11,30,21,4,19,5,141,29
G45102,0,0,0,0,0,0,0,0,0,0,0,0,0
G45248,35,60,19,110,20,36,105,71,14,48,11,529,77
