Tag,ti|18|gi|155,ti|18|gi|128,ti|18|gi|38,ti|18|gi|68,ti|18|gi|36,ti|18|gi|56,ti|18|gi|98,ti|18|gi|67,ti|18|gi|14,ti|18|gi|176,ti|18|gi|182,ti|18|gi|198,ti|18|gi|199,ti|18|gi|28,ti|18|gi|154,ti|18|gi|22,ti|18|gi|30,ti|18|gi|200,ti|18|gi|25,ti|18|gi|1,ti|18|gi|106,ti|18|gi|3,ti|18|gi|118,ti|18|gi|77,ti|18|gi|70,ti|18|gi|187,ti|18|gi|97,ti|18|gi|135,ti|18|gi|145,ti|18|gi|18,ti|18|gi|171,ti|18|gi|33,ti|18|gi|53,ti|18|gi|44,ti|18|gi|195,ti|18|gi|69,ti|18|gi|29,ti|18|gi|55,ti|18|gi|180,ti|18|gi|157,ti|18|gi|85,ti|18|gi|94,ti|18|gi|164,ti|18|gi|179,ti|18|gi|43,ti|18|gi|26,ti|18|gi|11,ti|18|gi|130,total,skipped
MH0127,40,11,55,19,23,31,30,5,35,24,30,73,51,35,24,20,13,39,31,25,60,39,55,18,78,18,19,41,21,10,3,12,9,17,12,14,19,14,24,15,26,28,11,27,17,15,7,6,1249,127
MH0148,26,8,47,13,27,37,38,5,36,9,23,61,53,39,26,12,16,33,27,29,54,18,68,25,55,23,25,42,31,6,5,7,6,19,23,20,23,20,22,10,24,25,13,29,22,26,13,9,1228,37
MH0048,2,1,3,1,2,0,0,0,0,0,0,4,3,1,1,0,2,3,2,0,2,3,0,1,5,1,1,0,0,0,0,2,0,0,2,0,1,0,1,0,1,6,0,0,0,0,0,0,51,32
MH0102,36,15,51,11,30,47,24,6,0,18,33,66,51,31,32,27,20,34,27,36,68,40,73,15,83,22,30,43,16,9,3,23,17,15,16,14,23,6,22,9,13,24,14,19,19,19,12,6,1268,166
MH0003,33,8,45,15,27,48,40,13,37,23,32,70,46,40,25,12,20,39,31,35,64,31,87,27,78,24,23,39,35,7,11,13,24,17,13,20,16,21,23,12,23,37,20,39,18,18,17,9,1405,171
MH0075,6,1,4,2,2,2,2,1,5,2,1,7,6,7,4,2,2,4,1,4,1,6,8,1,9,2,0,8,1,0,0,1,2,1,2,1,7,4,1,4,1,0,4,4,2,0,2,0,137,26
MH0082,3,0,12,3,6,2,5,3,5,1,7,12,11,5,5,4,0,4,3,4,7,5,13,1,19,8,5,4,3,0,0,0,1,4,4,5,3,3,4,1,3,7,4,2,7,2,1,2,213,41
MH0124,4,2,3,2,1,3,5,1,4,3,4,3,5,2,7,3,3,3,7,1,8,4,4,1,5,1,2,2,1,1,0,0,1,1,1,4,3,3,0,3,2,6,3,3,2,2,5,1,135,9
MH0134,10,4,32,7,6,11,7,2,8,8,9,26,22,13,9,9,8,14,10,13,12,14,26,8,22,10,10,13,10,2,0,2,8,7,6,10,8,1,9,6,8,18,5,9,6,8,3,6,475,56
MH0002,6,2,16,4,10,10,4,2,9,3,3,20,14,4,12,7,9,9,3,9,14,7,11,3,18,6,6,7,5,1,1,1,1,2,2,2,5,8,4,3,4,12,5,12,5,4,3,3,311,72
MH0079,10,3,12,2,1,6,3,2,8,2,8,15,16,10,5,9,7,8,11,8,10,3,13,5,21,5,1,4,4,2,1,0,4,5,5,9,8,0,7,3,3,14,5,6,3,5,3,2,297,20
MH0147,27,6,55,16,27,35,28,9,27,18,43,65,48,50,22,25,20,19,33,32,62,57,78,16,72,20,29,32,14,6,7,8,16,26,8,22,16,9,27,12,23,28,25,26,16,19,16,13,1308,41
MH0068,103,24,136,42,55,102,76,35,93,40,84,206,132,105,74,52,38,105,64,58,137,49,185,56,211,65,61,86,62,30,10,39,42,50,29,58,54,32,59,32,49,68,33,73,53,46,39,24,3356,658
MH0067,3,0,3,0,3,3,3,0,2,0,1,8,2,1,3,0,0,2,2,4,2,2,3,2,8,1,0,3,4,0,0,5,3,1,3,1,3,0,1,0,2,2,0,2,1,1,1,1,92,25
