Tag,GA3_TssP,GA3_TssC,GA3_TssR,GA3_TssF,GA3_TssB,GA3_ClpV,GA3_TssQ,GA3_TssO,GA3_Hcp,GA3_TssK,GA3_TssG,total,skipped
MH0127,29,33,58,43,10,66,7,11,13,22,7,299,43
MH0148,0,0,0,0,0,0,0,0,0,0,0,0,0
MH0048,0,0,0,0,0,0,0,0,0,0,0,0,3
MH0102,0,0,0,0,0,0,0,0,0,0,0,0,1
MH0003,26,53,72,55,14,86,8,5,3,28,22,372,67
MH0075,2,7,3,2,4,10,1,3,0,2,3,37,7
MH0082,3,4,10,8,2,8,2,2,2,6,1,48,12
MH0124,0,2,1,3,0,3,0,0,0,1,0,10,0
MH0134,7,17,30,14,5,18,4,8,2,6,10,121,23
MH0002,6,7,10,9,3,24,1,3,3,5,1,72,28
MH0079,5,8,7,5,6,8,5,7,3,5,4,63,5
MH0147,25,36,70,53,12,70,15,16,8,29,16,350,27
MH0068,0,0,0,0,0,0,0,0,0,0,0,0,1
MH0067,0,1,6,2,1,5,1,0,0,0,4,20,6
MH0001,0,0,0,0,0,0,0,0,0,0,0,0,39
MH0123,36,0,71,49,0,0,14,28,0,37,13,248,47
MH0045,13,14,16,9,5,21,1,3,4,6,10,102,38
MH0021,24,36,44,31,17,26,18,20,10,13,15,254,150
MH0013,0,0,0,0,0,0,0,0,0,0,0,0,178
MH0104,29,57,99,71,28,85,20,20,7,37,25,478,64
MH0018,0,0,0,0,0,0,0,0,0,0,0,0,95
MH0099,12,13,35,19,4,30,5,6,4,13,7,148,22
MH0125,16,17,35,17,2,26,6,8,5,15,11,158,17
MH0051,0,0,0,0,0,0,0,0,0,0,0,0,1
MH0038,1,1,0,0,1,3,1,1,0,0,1,9,22
MH0037,5,3,11,4,0,3,3,2,2,3,1,37,71
MH0092,42,52,85,56,13,76,22,21,8,41,33,449,55
MH0062,0,0,0,0,0,0,0,0,0,0,0,0,0
MH0172,13,29,29,24,8,32,6,10,7,17,7,182,30
MH0019,0,0,0,0,0,0,0,0,0,0,0,0,3
MH0066,1,0,2,0,1,4,1,1,0,1,0,11,2
MH0106,1,10,8,4,1,10,1,1,1,2,1,40,16
MH0040,15,22,32,20,12,40,6,7,5,13,6,178,35
MH0165,14,22,37,24,3,37,6,5,2,14,16,180,25
MH0086,23,44,63,57,10,85,17,17,5,29,31,381,88
MH0135,16,33,42,22,12,51,15,11,12,21,16,251,69
MH0174,0,0,0,0,0,0,0,0,0,0,0,0,1
MH0114,20,33,57,43,12,49,15,8,4,20,13,274,43
MH0154,38,57,85,53,19,102,25,24,12,40,29,484,87
MH0039,3,4,14,7,2,8,4,8,0,3,4,57,76
MH0162,0,0,0,0,0,0,0,0,0,0,0,0,0
MH0186,107,147,232,170,49,206,66,42,46,93,67,1225,129
