Tag,ti|18|gi|164,ti|18|gi|179,ti|18|gi|106,ti|18|gi|67,ti|18|gi|154,ti|18|gi|198,ti|18|gi|118,ti|18|gi|28,ti|18|gi|3,ti|18|gi|68,ti|18|gi|55,ti|18|gi|77,ti|18|gi|98,ti|18|gi|25,ti|18|gi|22,ti|18|gi|187,ti|18|gi|56,ti|18|gi|180,ti|18|gi|14,ti|18|gi|44,ti|18|gi|85,ti|18|gi|145,ti|18|gi|97,ti|18|gi|29,ti|18|gi|182,ti|18|gi|53,ti|18|gi|38,ti|18|gi|157,ti|18|gi|11,ti|18|gi|33,ti|18|gi|155,ti|18|gi|43,ti|18|gi|26,ti|18|gi|128,ti|18|gi|176,ti|18|gi|36,ti|18|gi|30,ti|18|gi|94,ti|18|gi|135,ti|18|gi|199,ti|18|gi|69,ti|18|gi|200,ti|18|gi|171,ti|18|gi|130,ti|18|gi|70,ti|18|gi|195,ti|18|gi|1,ti|18|gi|18,total,skipped
SAMN09413948,1,1,2,1,2,1,3,1,2,1,2,1,1,3,2,1,1,2,2,2,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1
SAMN09411704,46,82,137,26,90,125,185,93,126,29,46,39,91,80,35,43,150,76,95,47,70,55,95,50,62,50,126,38,48,16,57,29,69,13,42,63,50,46,118,102,45,81,8,16,201,41,91,35,3358,66
SAMN09417045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
SAMN09412341,0,3,5,2,3,8,9,3,1,2,0,0,3,6,1,2,5,4,2,2,3,0,2,2,4,1,2,0,1,1,2,0,0,0,3,2,2,1,1,7,1,2,0,1,9,1,2,0,111,3
SAMN09414035,65,139,219,49,146,264,347,170,89,48,67,81,159,106,68,72,216,110,137,67,115,103,119,96,121,89,204,69,89,28,118,59,83,25,58,128,89,109,167,191,75,151,24,39,319,67,129,53,5536,189
SAMN09411603,0,0,0,0,5,13,1,0,0,0,0,0,5,3,0,0,0,0,1,0,0,2,2,0,0,0,0,1,3,0,0,0,0,0,1,6,6,0,0,0,0,1,0,0,0,8,0,0,58,119
SAMN09421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09417964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09414074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09417039,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SAMN09408030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09408031,43,98,143,30,99,196,211,119,154,44,41,52,110,81,38,49,148,73,90,41,91,70,113,63,83,51,115,45,60,24,62,39,68,14,50,75,70,64,106,117,44,88,9,16,196,48,106,20,3767,79
SAMN09408214,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
SAMN09417983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09418259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09412079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09409364,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
