Tag,GA3_ClpV,GA3_TssF,GA3_TssP,GA3_TssK,GA3_TssR,GA3_TssC,GA3_TssG,GA3_TssB,GA3_Hcp,GA3_TssO,GA3_TssQ,total,skipped
SAMN09413948,2,4,6,5,1,5,1,0,0,0,0,24,0
SAMN09411704,210,116,74,97,191,116,67,27,29,28,36,991,51
SAMN09417045,0,1,0,0,0,0,0,0,0,0,0,1,0
SAMN09412341,4,4,2,2,6,3,5,0,2,0,2,30,2
SAMN09414035,330,208,112,90,301,203,101,57,47,64,77,1590,158
SAMN09411603,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09421053,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09417964,0,0,1,0,0,0,0,0,0,0,0,1,0
SAMN09414074,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09417039,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09408030,1,0,0,0,1,0,1,0,0,0,0,3,0
SAMN09408031,249,144,94,147,203,130,84,19,25,36,38,1169,46
SAMN09408214,1,0,0,1,0,0,0,0,0,0,0,2,0
SAMN09417983,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09418259,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09412079,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09409364,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09420335,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09415935,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09413795,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09418437,0,0,1,0,0,0,0,0,0,0,0,1,0
SAMN09413462,5,0,3,2,7,3,1,1,1,0,0,23,0
SAMN09410613,36,15,14,9,22,15,9,1,3,6,1,131,8
SAMN09418813,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09418433,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09416203,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09419427,47,20,8,21,26,23,11,8,3,4,9,180,4
SAMN09408526,3,2,3,3,4,4,0,1,0,0,1,21,1
SAMN09408316,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMN09417678,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09417804,0,0,20,32,68,0,15,0,0,16,17,168,26
SAMN09417406,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09418648,26,12,6,7,18,13,4,3,3,1,2,95,6
SAMN09413967,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09417394,21,7,5,5,14,7,4,0,0,1,3,67,8
SAMN09411768,0,1,0,0,0,0,0,0,0,0,0,1,0
SAMN09416322,679,442,226,350,588,464,225,95,128,150,142,3489,202
SAMN09417558,3,5,0,1,6,5,2,2,1,1,0,26,1
SAMN09419772,1,0,1,0,0,0,0,0,0,0,0,2,0
SAMN09414563,564,306,193,240,444,299,206,83,62,75,94,2566,75
SAMN09417250,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMN09408581,103,49,34,26,85,56,34,12,12,16,20,447,37
SAMN09419644,610,309,172,186,417,332,166,93,87,84,108,2564,286
SAMN09416057,914,595,267,277,709,464,269,138,127,118,168,4046,306
SAMN09413895,6,2,5,5,5,3,5,1,1,0,2,35,0
