Tag,ti|18|gi|22,ti|18|gi|145,ti|18|gi|118,ti|18|gi|176,ti|18|gi|25,ti|18|gi|28,ti|18|gi|11,ti|18|gi|187,ti|18|gi|106,ti|18|gi|180,ti|18|gi|29,ti|18|gi|200,ti|18|gi|30,ti|18|gi|199,ti|18|gi|38,ti|18|gi|198,ti|18|gi|85,ti|18|gi|179,ti|18|gi|77,ti|18|gi|97,ti|18|gi|56,ti|18|gi|154,ti|18|gi|67,ti|18|gi|98,ti|18|gi|195,ti|18|gi|135,ti|18|gi|94,ti|18|gi|44,ti|18|gi|70,ti|18|gi|18,ti|18|gi|43,ti|18|gi|36,ti|18|gi|155,ti|18|gi|68,ti|18|gi|3,ti|18|gi|182,ti|18|gi|14,ti|18|gi|69,ti|18|gi|26,ti|18|gi|164,ti|18|gi|53,ti|18|gi|1,ti|18|gi|55,ti|18|gi|157,ti|18|gi|128,ti|18|gi|130,ti|18|gi|33,ti|18|gi|171,total,skipped
G80158,76,120,346,90,122,173,59,114,216,139,117,145,85,217,237,321,120,144,89,108,195,134,49,160,78,166,162,82,310,29,87,96,142,79,157,133,184,83,102,64,88,125,57,71,30,50,56,15,6022,1543
G78791,0,3,2,2,0,0,0,0,0,1,0,1,0,0,2,1,0,2,1,1,1,4,0,0,0,0,0,0,2,0,4,2,0,0,0,0,4,1,4,0,0,1,2,0,0,0,0,0,41,9
G78823,35,37,103,42,70,58,28,28,83,42,42,53,27,95,82,83,30,28,25,33,71,0,23,0,0,85,63,25,104,5,29,0,57,23,58,0,1,29,28,20,23,53,18,14,12,8,21,8,1802,392
G80474,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
G78555,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
G80306,37,71,201,48,87,121,50,90,150,77,81,108,81,161,167,261,72,95,40,69,145,92,35,106,38,110,133,49,205,21,55,68,98,35,61,85,61,44,67,40,65,96,28,37,19,20,42,18,3940,474
G80314,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
G78656,8,5,44,7,9,7,11,4,12,12,3,5,3,10,27,48,7,11,5,3,7,9,7,14,10,9,32,4,13,0,4,10,13,3,7,4,13,10,6,0,13,5,11,10,4,5,2,0,466,395
G80436,7,7,19,3,9,14,8,2,13,6,3,10,5,10,15,22,6,5,6,4,18,5,3,12,3,11,11,5,18,2,3,4,9,3,11,11,16,6,8,3,8,3,6,5,1,3,1,0,363,66
G78561,0,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
G78658,3,2,5,0,0,1,0,0,1,4,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,4,2,0,2,0,2,0,3,0,0,0,3,0,0,1,0,0,1,3,0,0,3,1,47,13
