Tag,GA3_TssC,GA3_Hcp,GA3_TssR,GA3_TssG,GA3_ClpV,GA3_TssO,GA3_TssK,GA3_TssF,GA3_TssP,GA3_TssB,GA3_TssQ,total,skipped
G80158,188,38,257,94,301,65,160,291,112,48,57,1611,448
G78791,0,0,3,0,1,0,0,0,1,0,0,5,2
G78823,71,16,1,0,90,0,0,0,0,30,0,208,49
G80474,0,0,0,0,1,0,0,0,0,0,0,1,0
G78555,1,0,0,0,1,0,0,0,0,0,0,2,0
G80306,126,20,204,80,197,29,71,154,93,36,44,1054,166
G80314,0,0,1,0,0,0,0,0,0,0,0,1,0
G78656,12,17,16,1,16,3,2,9,10,4,2,92,118
G80436,8,3,20,3,20,7,10,18,5,7,6,107,19
G78561,0,0,1,0,0,0,0,0,0,0,0,1,0
G78658,0,0,4,0,0,0,0,0,0,0,0,4,2
G80591,3,1,6,1,8,0,2,0,1,0,0,22,6
G69237,1,1,1,2,1,0,0,0,2,0,1,9,8
G80392,114,23,90,57,183,28,94,83,78,36,48,834,205
G80381,17,1,31,11,25,6,15,24,21,2,8,161,29
G78537,26,2,42,14,45,11,12,26,37,11,13,239,84
G69186,0,0,0,0,2,0,0,0,0,0,2,4,0
G78876,29,5,48,14,45,10,21,34,16,9,6,237,45
G78746,4,1,0,4,6,1,0,0,0,0,0,16,3
G78508,0,0,0,0,3,5,2,0,0,0,0,10,465
G78902,3,0,2,0,6,0,2,3,3,1,1,21,5
G80596,138,18,274,50,239,56,46,122,99,38,55,1135,277
G78719,49,7,72,13,78,12,11,29,35,13,16,335,81
G78807,0,0,1,1,0,0,1,1,0,0,0,4,1
G80565,1,0,1,0,4,0,0,0,1,0,0,7,2
G80418,22,4,53,8,44,12,10,19,9,11,6,198,48
G80285,0,0,1,0,3,0,1,1,4,0,0,10,1
G78778,0,0,1,0,0,0,0,1,1,0,0,3,0
G78728,0,0,0,0,0,0,0,0,0,0,0,0,0
G80484,0,0,0,0,0,0,0,0,0,0,0,0,1
G78680,39,12,68,33,44,15,24,30,18,9,17,309,115
G80360,0,0,1,1,0,0,0,0,0,0,0,2,1
G69159,40,16,48,12,54,15,20,18,18,12,13,266,63
G80535,0,0,0,0,0,0,0,0,0,0,0,0,0
G80615,1,0,2,0,5,1,3,0,1,0,1,14,5
G69232,33,2,43,16,42,6,9,16,17,6,2,192,60
G78663,0,0,0,0,0,0,0,0,0,0,0,0,1
G78809,44,7,83,38,60,11,17,71,23,8,12,374,150
G69171,36,3,43,15,43,4,6,9,17,6,9,191,63
G78842,0,0,0,0,1,0,0,0,0,0,0,1,0
