Tag,GA3_TssC,GA3_TssQ,GA3_Hcp,GA3_TssP,GA3_TssF,GA3_TssR,GA3_TssO,GA3_TssK,GA3_TssB,GA3_TssG,GA3_ClpV,total,skipped
DRR171564,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR127616,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171508,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171515,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171749,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171808,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171738,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171810,211,79,37,180,273,416,108,133,52,129,442,2060,258
DRR171981,0,0,0,0,1,0,0,0,0,0,0,1,0
DRR171882,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171786,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171616,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171873,0,1,1,0,0,0,0,0,0,0,0,2,0
DRR171726,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171879,12,6,1,7,14,16,1,19,4,7,22,109,5
DRR171609,2,0,0,3,2,4,1,1,0,2,4,19,2
DRR171693,92,32,10,82,103,253,34,81,24,82,208,1001,73
DRR171936,0,0,0,0,0,0,0,0,0,0,0,0,1
DRR171834,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR127685,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR172001,920,254,160,509,1017,1678,220,666,220,567,1686,7897,988
DRR162776,86,23,3,36,40,143,14,29,25,29,99,527,96
DRR171500,9,2,1,2,5,8,0,1,2,2,11,43,5
DRR171601,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171591,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR127720,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171986,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR127674,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171933,1,2,4,0,1,2,1,1,3,0,2,17,0
DRR127647,90,13,9,37,71,107,17,43,21,34,171,613,87
DRR171939,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171836,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171660,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171722,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171663,0,0,0,0,2,14,0,11,0,1,0,28,3
DRR127718,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171584,0,0,0,0,0,0,0,0,0,0,0,0,1
DRR127524,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171556,1,0,1,1,2,6,1,1,0,2,0,15,0
DRR171519,68,31,6,33,73,125,23,31,11,35,125,561,66
DRR171518,80,26,10,33,49,159,14,33,14,39,165,622,94
DRR171890,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171917,2,0,0,0,1,0,0,1,0,2,1,7,1
DRR171860,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171798,2630,763,386,1725,3037,4894,711,1180,615,1433,4970,22344,2362
DRR171570,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171927,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171827,13,4,0,15,9,24,0,7,5,2,23,102,3
DRR171680,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171673,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171789,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171568,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR127634,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR127700,24,10,7,8,21,46,5,20,8,15,38,202,24
DRR171492,129,29,10,84,129,181,33,47,22,45,175,884,112
DRR171689,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171878,2,0,0,4,6,11,0,9,1,3,8,44,4
DRR171884,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171937,29,7,5,17,31,34,10,24,0,15,45,217,26
DRR171495,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171617,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR127583,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171656,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR172015,0,1,0,0,0,0,0,0,1,0,0,2,0
DRR171664,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171700,7,0,0,0,3,6,2,0,0,3,4,25,1
DRR171644,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171811,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171979,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171761,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171482,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR127755,14,6,0,12,23,46,2,14,1,8,38,164,21
DRR171468,22,10,4,29,33,50,14,23,15,14,42,256,51
DRR171481,516,161,77,361,601,969,164,488,151,295,1028,4811,302
DRR171976,0,0,0,0,0,1,0,0,0,0,0,1,0
DRR171485,4,2,2,6,8,11,0,4,0,1,9,47,6
DRR171765,0,0,0,0,0,0,0,0,0,0,1,1,2
DRR171488,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171645,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171928,0,1,1,3,4,5,0,1,2,2,4,23,4
DRR171980,40,12,4,33,20,82,19,7,13,15,79,324,66
DRR171536,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171637,0,0,0,0,0,0,0,0,0,0,1,1,0
DRR171897,0,1,0,0,0,0,0,0,0,0,0,1,2
DRR171785,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171737,154,69,52,95,194,291,54,72,42,88,342,1453,158
DRR171629,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171828,0,0,0,0,0,0,0,0,0,0,0,0,1
DRR127579,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171669,0,0,0,1,0,0,0,0,0,0,0,1,0
DRR171941,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171652,4,10,3,7,7,18,1,4,0,2,11,67,7
DRR127638,5,3,0,5,7,7,7,2,0,4,23,63,8
DRR171577,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171957,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171683,12,3,3,8,7,22,7,8,3,3,12,88,9
DRR171816,424,114,71,308,508,805,126,370,100,235,834,3895,253
DRR171682,23,6,4,17,22,39,2,10,5,21,69,218,32
DRR171503,62,20,17,34,78,114,33,46,12,35,107,558,59
DRR171623,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171719,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171491,0,0,0,0,0,0,0,0,0,0,0,0,1
DRR171507,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171881,11,4,1,3,8,12,1,6,1,4,15,66,7
DRR171633,12,2,6,3,7,15,4,13,2,1,24,89,3
DRR172010,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171745,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171925,52,16,11,35,60,79,15,30,13,27,91,429,63
DRR171666,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171973,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171597,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR162777,43,5,9,37,49,71,10,27,14,27,89,381,36
DRR171523,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171758,0,0,0,4,2,0,0,0,0,0,2,8,0
DRR171783,15,2,2,3,6,19,1,10,3,9,17,87,14
DRR127728,106,20,19,62,86,145,27,53,21,46,131,716,179
DRR171593,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171531,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR127672,71,21,13,53,93,127,26,72,16,40,157,689,47
DRR171802,12,5,2,8,4,13,1,4,2,3,23,77,11
DRR127628,74,22,5,42,40,116,15,24,17,38,108,501,105
DRR172004,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171964,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171822,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR127774,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171921,7,4,2,1,1,6,1,7,1,5,8,43,13
DRR171857,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171740,4,7,1,4,14,15,5,11,1,6,6,74,13
DRR171830,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171974,6,1,0,5,10,10,4,3,2,5,19,65,11
DRR171474,132,42,20,104,69,273,43,46,36,82,263,1110,210
DRR171471,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171748,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171990,0,0,0,0,0,0,0,0,0,0,0,0,0
DRR171509,0,0,0,0,0,0,0,0,0,0,0,0,0
