Tag,ti|18|gi|180,ti|18|gi|14,ti|18|gi|11,ti|18|gi|44,ti|18|gi|187,ti|18|gi|118,ti|18|gi|154,ti|18|gi|106,ti|18|gi|70,ti|18|gi|26,ti|18|gi|94,ti|18|gi|25,ti|18|gi|182,ti|18|gi|164,ti|18|gi|171,ti|18|gi|28,ti|18|gi|67,ti|18|gi|38,ti|18|gi|198,ti|18|gi|199,ti|18|gi|145,ti|18|gi|130,ti|18|gi|179,ti|18|gi|98,ti|18|gi|43,ti|18|gi|55,ti|18|gi|30,ti|18|gi|200,ti|18|gi|53,ti|18|gi|68,ti|18|gi|135,ti|18|gi|97,ti|18|gi|56,ti|18|gi|85,ti|18|gi|1,ti|18|gi|155,ti|18|gi|195,ti|18|gi|29,ti|18|gi|77,ti|18|gi|176,ti|18|gi|3,ti|18|gi|128,ti|18|gi|36,ti|18|gi|157,ti|18|gi|69,ti|18|gi|33,ti|18|gi|22,ti|18|gi|18,total,skipped
E003953_12.1,86,82,42,37,112,182,125,186,194,88,140,113,70,46,26,171,59,187,274,198,89,36,97,113,50,45,78,136,87,55,140,76,142,76,118,122,55,79,109,63,157,26,119,42,79,37,83,15,4742,755
E021822_35.8,172,322,109,151,159,500,263,523,532,195,282,271,244,156,29,210,91,651,637,490,248,73,309,296,155,157,216,286,223,83,452,286,361,188,281,231,85,183,157,213,255,35,255,98,270,53,142,45,11623,1695
E013505_14.2,72,62,26,27,28,144,57,97,95,39,62,36,43,26,13,67,18,94,104,59,17,8,44,89,25,22,34,51,36,18,63,34,89,52,77,63,30,31,30,26,49,21,45,27,22,19,19,11,2221,293
E021032_15.5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
E020924_29.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E021822_28.2,165,268,110,143,105,416,228,383,457,126,244,242,207,125,24,205,68,450,624,356,182,72,300,221,178,134,148,236,139,89,366,250,293,148,238,204,53,139,120,154,194,54,183,86,179,59,131,50,9546,1404
E005786_10.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
E006493_24.1,34,86,25,40,42,125,76,104,168,53,64,83,69,34,3,96,32,130,157,95,29,12,45,66,30,28,42,70,56,20,97,70,96,36,70,45,26,42,39,26,47,8,59,28,40,18,32,8,2701,221
E010682_23.8,2,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,3,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,2,1,0,3,1,30,32
E016273_2.0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,13,8
E022497_35.7,10,12,5,8,5,24,11,22,26,4,9,9,8,7,2,7,4,23,18,15,11,5,5,11,8,3,9,8,5,1,14,8,19,7,15,7,2,9,2,18,10,2,10,6,6,4,5,3,442,60
E010581_36.2,41,34,16,19,25,70,44,58,82,22,39,33,29,15,3,49,10,52,100,62,30,12,29,39,18,23,22,39,19,13,58,24,45,31,43,30,13,19,16,17,45,13,22,11,12,13,25,16,1500,237
E024907_11.6,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,18,6
E020924_27.9,88,91,39,54,69,230,94,154,192,49,99,82,89,36,7,109,40,150,231,183,57,20,89,100,50,47,55,100,54,41,126,77,129,73,93,82,31,72,59,62,104,15,64,42,56,15,36,13,3848,406
E020924_24.4,24,43,18,26,23,63,27,49,57,22,29,28,26,15,2,34,9,48,68,39,26,8,26,22,13,10,18,27,18,14,27,31,30,13,17,21,7,9,16,17,23,4,17,7,16,8,13,1,1109,146
E021822_7.2,358,598,181,314,308,1034,516,901,908,408,584,579,416,234,33,436,203,950,1199,865,321,116,476,453,290,228,413,488,367,177,624,541,543,290,536,392,150,262,288,370,519,66,326,191,357,135,293,75,20312,3084
E013505_24.1,31,56,33,23,46,108,46,74,121,27,48,33,47,23,2,59,25,100,125,89,30,6,45,48,27,19,37,39,37,16,67,34,79,34,46,41,22,30,15,25,47,7,33,16,26,18,23,9,1992,253
E022497_12.5,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,9
E023445_23.7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2
E013094_35.6,63,107,36,42,70,186,99,131,211,58,101,116,86,40,12,136,21,159,194,118,47,18,49,98,38,33,41,87,75,33,111,69,111,58,70,55,33,39,58,30,90,21,88,23,34,19,26,14,3454,359
E016426_2.4,629,883,342,456,562,1760,734,1372,1702,462,924,753,657,461,95,877,315,1457,1930,1370,574,212,823,854,460,297,521,765,501,386,1010,757,977,504,832,680,347,511,406,529,888,155,548,387,483,240,452,189,33029,3484
E011878_12.0,14,16,6,5,7,18,19,14,20,3,7,5,13,2,1,6,1,8,26,18,5,4,10,7,14,3,1,6,3,10,14,12,13,16,10,4,6,5,1,6,5,2,8,4,7,2,2,3,392,33
E014403_23.4,30,37,18,25,27,98,42,67,79,39,40,46,32,25,2,49,8,78,96,60,19,7,25,42,13,17,27,26,19,11,47,29,50,17,30,30,15,27,23,19,46,8,30,20,21,9,12,7,1544,94
E014086_2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1
E005786_23.9,2,2,1,5,0,0,0,3,2,1,1,1,1,0,0,0,0,1,3,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30,14
E016063_25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E019763_35.6,44,86,33,46,38,139,68,122,139,41,84,79,61,47,6,65,28,167,199,100,40,13,84,61,44,43,55,77,65,30,112,82,102,49,74,53,12,49,39,59,84,7,59,26,47,18,19,4,2999,413
E019092_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E021822_5.0,673,1017,377,442,786,2106,953,1541,2070,517,962,952,843,445,118,1213,305,1712,2145,1367,567,155,761,1024,446,311,596,755,548,372,1233,704,1272,551,980,689,441,656,534,444,1088,156,771,294,478,217,454,253,37294,3309
E019092_11.4,876,1216,518,593,810,2799,1214,1873,2896,765,1102,1148,975,632,158,1627,411,2010,2608,1715,691,179,941,1250,532,477,745,1069,779,401,1647,884,1655,820,1207,982,563,735,629,559,1189,197,886,405,541,257,529,308,47003,4079
E007944_11.8,2,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,17,2
E004898_23.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
E004628_6.2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
E021822_13.1,194,284,139,141,183,532,256,463,494,198,288,239,245,129,32,271,86,500,680,437,181,90,301,286,178,127,206,265,175,122,379,260,408,181,295,229,96,183,165,161,345,34,257,91,166,77,178,49,11276,1338
E013505_12.9,16,24,9,5,14,21,11,26,23,8,13,14,5,4,0,10,6,29,28,16,5,7,11,10,16,2,11,11,7,10,28,7,13,15,19,11,4,6,7,4,14,1,6,4,5,3,10,0,529,89
E016273_24.1,15,17,12,11,15,46,11,38,36,11,14,18,11,7,3,18,7,32,62,28,15,4,16,30,9,7,5,20,12,15,16,12,23,13,18,24,13,8,19,6,8,6,13,9,9,2,3,9,756,111
E010581_12.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
E004628_12.2,10,13,4,1,8,25,7,15,16,10,7,6,8,1,0,5,4,16,16,13,11,1,5,11,3,3,6,9,3,2,12,1,11,5,9,11,2,5,9,2,5,6,2,4,2,3,11,3,342,40
E028794_29.9,4,4,5,4,5,18,0,11,18,4,8,13,0,5,3,6,3,19,21,8,3,1,6,1,1,5,4,9,5,1,17,3,8,2,10,8,0,3,4,4,9,2,1,2,3,1,2,2,276,23
E028794_23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E003188_11.6,190,230,103,103,143,491,204,375,416,92,296,197,193,106,23,268,92,437,565,347,187,63,264,215,125,103,149,210,142,84,262,192,299,117,273,192,85,155,119,143,270,40,208,103,162,66,131,35,9265,1231
E003188_4.5,168,226,100,102,182,485,218,337,440,122,309,198,184,104,17,294,74,386,629,294,147,55,234,244,133,90,147,192,117,82,311,179,399,183,246,169,111,171,158,158,340,51,176,107,105,71,138,34,9417,1026
E021940_8.3,19,42,17,13,26,58,34,79,49,23,49,39,32,15,0,25,9,66,123,35,38,15,43,40,25,16,36,41,10,9,51,46,55,20,38,34,11,32,25,33,16,4,26,15,29,11,29,1,1502,192
E021032_24.2,247,388,154,172,256,898,439,573,955,255,358,493,369,233,54,531,126,623,714,553,204,38,263,434,178,182,247,313,301,141,532,270,564,223,338,278,197,185,205,171,356,68,337,104,179,71,152,49,14971,1332
E011878_1.8,1,0,0,0,0,2,1,0,0,2,1,1,1,0,0,2,0,1,1,1,1,0,1,1,0,0,1,0,0,0,3,0,0,0,2,1,0,0,0,2,2,0,0,0,0,1,0,1,30,9
E032966_1.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,13,4
E004628_5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
