Tag,GA3_TssR,GA3_TssG,GA3_TssK,GA3_TssF,GA3_TssP,GA3_TssC,GA3_ClpV,GA3_TssQ,GA3_TssO,GA3_Hcp,GA3_TssB,total,skipped
E003953_12.1,278,106,119,253,84,120,246,75,36,31,14,1362,153
E021822_35.8,688,134,246,482,310,424,660,88,110,89,113,3344,535
E013505_14.2,0,0,1,0,0,0,0,0,0,0,0,1,0
E021032_15.5,0,0,1,0,0,1,2,1,0,0,0,5,0
E020924_29.7,0,0,0,0,0,0,0,0,0,0,0,0,1
E021822_28.2,500,118,206,380,250,275,538,74,82,65,78,2566,466
E005786_10.0,0,0,0,0,0,0,0,0,0,0,0,0,1
E006493_24.1,165,63,67,123,70,77,147,40,25,8,21,806,66
E010682_23.8,0,0,2,0,0,0,1,0,0,0,0,3,1
E016273_2.0,0,0,0,1,0,0,1,0,0,0,1,3,0
E022497_35.7,21,9,1,16,10,1,1,2,2,1,0,64,22
E010581_36.2,79,33,21,74,37,46,88,15,20,15,17,445,93
E024907_11.6,0,1,0,1,0,0,0,0,0,0,0,2,0
E020924_27.9,211,57,51,117,69,97,167,44,38,14,24,889,159
E020924_24.4,63,16,11,31,23,39,54,4,13,11,11,276,50
E021822_7.2,1036,246,487,719,496,697,1122,162,223,85,218,5491,970
E013505_24.1,1,0,0,0,0,0,0,0,0,0,0,1,0
E022497_12.5,0,0,0,1,3,0,1,0,0,0,1,6,2
E023445_23.7,0,0,0,0,0,0,0,0,0,0,0,0,0
E013094_35.6,184,68,73,108,78,117,164,30,30,10,23,885,177
E016426_2.4,1743,578,622,1055,729,993,1542,299,280,178,273,8292,1126
E011878_12.0,23,12,8,10,10,17,21,8,4,3,11,127,15
E014403_23.4,85,29,24,34,29,60,74,17,12,17,16,397,77
E014086_2.5,0,0,0,0,0,0,0,0,0,0,0,0,1
E005786_23.9,0,0,0,0,1,0,1,0,0,0,0,2,2
E016063_25.2,0,0,0,0,0,0,0,0,0,0,0,0,0
E019763_35.6,179,62,76,109,80,102,160,24,36,26,23,877,181
E019092_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
E021822_5.0,1933,562,939,1420,713,1059,2061,345,313,179,286,9810,1020
E019092_11.4,2705,912,1274,1765,959,1478,2623,444,432,252,345,13189,1317
E007944_11.8,0,1,0,0,0,1,1,0,0,0,0,3,0
E004898_23.8,0,0,0,0,0,0,1,0,0,0,0,1,0
E004628_6.2,0,0,0,0,0,0,0,0,0,0,0,0,0
E021822_13.1,542,155,281,475,215,362,624,94,103,68,98,3017,418
E013505_12.9,2,0,1,1,0,1,4,0,1,0,0,10,2
E016273_24.1,34,10,15,20,22,22,24,8,5,4,3,167,34
E010581_12.1,0,0,0,0,0,0,1,0,0,0,0,1,0
E004628_12.2,22,4,7,10,12,5,21,7,6,3,0,97,17
E028794_29.9,16,2,4,2,6,1,0,1,2,0,0,34,5
E028794_23.7,0,0,0,0,0,0,0,0,0,0,0,0,0
E003188_11.6,487,139,198,323,195,298,408,98,77,59,72,2354,357
E003188_4.5,478,178,240,303,188,283,454,101,95,68,62,2450,356
E021940_8.3,0,0,0,0,0,0,0,0,0,0,0,0,0
E021032_24.2,941,326,418,600,338,442,869,106,181,57,122,4400,599
E011878_1.8,3,0,1,0,1,1,3,0,0,0,0,9,4
E032966_1.7,0,0,0,1,0,0,0,2,0,0,0,3,2
E004628_5.2,0,0,0,0,0,0,0,0,0,0,0,0,0
E028794_26.2,0,0,0,1,0,1,1,0,0,0,0,3,2
E003188_24.2,443,142,216,282,174,272,398,87,94,59,80,2247,460
E020924_29.2,291,79,90,144,78,152,252,40,42,29,25,1222,166
E024907_3.8,0,0,0,0,0,0,0,0,0,0,0,0,0
E004709_24.7,41,1,8,22,14,25,33,9,2,3,4,162,33
E013094_23.8,291,80,126,199,115,155,267,48,47,26,41,1395,200
E010481_33.0,143,46,40,76,55,82,105,29,23,12,17,628,116
E021032_12.3,2,1,1,0,0,1,1,0,0,0,0,6,0
E021940_25.7,0,0,0,0,0,0,0,0,0,0,0,0,0
E020924_35.8,53,10,9,25,23,23,45,4,4,6,10,212,66
E023445_1.7,2,0,0,0,0,0,1,0,0,0,0,3,2
E020924_26.9,91,16,26,42,37,57,69,22,24,6,16,406,92
E006091_2.0,1385,413,370,841,504,751,1176,243,249,195,196,6323,1089
E006781_35.7,0,0,0,0,0,0,0,0,0,0,0,0,0
E020924_3.6,640,139,122,303,288,362,604,105,101,54,98,2816,646
E003953_33.1,266,93,102,173,95,134,216,38,56,25,38,1236,159
E016426_34.9,250,69,111,166,104,152,249,46,37,26,34,1244,169
E006781_12.2,564,173,167,372,213,320,580,107,100,73,76,2745,462
E000823_24.3,63,14,25,40,18,54,52,15,9,4,9,303,52
E021940_6.0,1,0,0,0,0,0,0,0,0,0,0,1,1
E003188_6.5,2046,674,950,1442,695,1105,1883,385,378,253,323,10134,1334
E003188_34.0,1304,331,578,823,568,776,1117,251,302,121,197,6368,825
E005786_35.3,69,18,19,42,22,30,40,21,14,5,5,285,51
E021235_35.8,81,24,34,50,28,59,54,12,12,8,17,379,113
E010682_12.0,0,0,0,1,0,0,0,0,0,0,0,1,1
E001958_24.1,195,41,65,101,88,84,142,21,54,11,33,835,189
E016273_35.1,2,1,0,3,1,4,2,0,2,0,1,16,5
E003953_7.0,303,101,102,167,73,206,339,62,58,63,88,1562,240
E004709_2.9,283,62,95,207,125,162,302,50,57,36,49,1428,238
E003953_3.8,151,54,67,122,60,81,130,28,28,24,22,767,70
E004898_28.4,0,0,0,0,0,0,0,1,0,0,0,1,0
E000823_12.5,62,20,24,43,22,26,40,11,14,5,13,280,74
